111 1.11  0.195	0.205	0.215	0.225	0.235	0.245	0.255	0.265	0.275
   12     5.825	0.99880	0.99256	0.98617	0.98073	0.97307	0.96799	0.96054	0.95393	0.94706
   12     5.875	0.99845	0.99222	0.98571	0.98037	0.97265	0.96776	0.96021	0.95327	0.94663
   12     5.925	0.99818	0.99185	0.98515	0.97987	0.97236	0.96735	0.95988	0.95277	0.94623
   12     5.975	0.99756	0.99154	0.98448	0.97952	0.97215	0.96661	0.95952	0.95248	0.94576
   12     6.025	0.99674	0.99119	0.98392	0.97905	0.97185	0.96578	0.95912	0.95215	0.94522
   12     6.075	0.99600	0.99080	0.98332	0.97850	0.97151	0.96504	0.95865	0.95169	0.94481
   12     6.125	0.99564	0.99043	0.98272	0.97800	0.97114	0.96440	0.95837	0.95127	0.94452
   12     6.175	0.99536	0.99013	0.98241	0.97761	0.97078	0.96377	0.95813	0.95095	0.94413
   12     6.225	0.99472	0.98982	0.98214	0.97707	0.97051	0.96309	0.95794	0.95060	0.94361
   12     6.275	0.99374	0.98974	0.98194	0.97635	0.97009	0.96268	0.95760	0.95013	0.94318
   12     6.325	0.99299	0.98921	0.98155	0.97565	0.96972	0.96236	0.95727	0.94975	0.94280
   12     6.375	0.99266	0.98854	0.98127	0.97533	0.96945	0.96199	0.95695	0.94935	0.94243
   12     6.425	0.99226	0.98784	0.98116	0.97498	0.96920	0.96179	0.95644	0.94897	0.94213
   12     6.475	0.99159	0.98721	0.98092	0.97444	0.96894	0.96151	0.95587	0.94868	0.94176
   12     6.525	0.99093	0.98678	0.98065	0.97381	0.96870	0.96119	0.95508	0.94846	0.94147
   12     6.575	0.99040	0.98633	0.98037	0.97345	0.96835	0.96087	0.95437	0.94815	0.94098
   12     6.625	0.99006	0.98569	0.98026	0.97304	0.96786	0.96068	0.95384	0.94785	0.94053
   12     6.675	0.98959	0.98523	0.97998	0.97234	0.96758	0.96036	0.95326	0.94757	0.94010
   12     6.725	0.98930	0.98485	0.97967	0.97193	0.96740	0.95988	0.95265	0.94738	0.93963
   12     6.775	0.98906	0.98433	0.97950	0.97151	0.96696	0.95955	0.95224	0.94717	0.93916
   12     6.825	0.98889	0.98372	0.97932	0.97101	0.96658	0.95928	0.95201	0.94682	0.93883
   12     6.875	0.98864	0.98337	0.97906	0.97053	0.96620	0.95904	0.95163	0.94642	0.93841
   12     6.925	0.98854	0.98308	0.97870	0.97020	0.96592	0.95882	0.95148	0.94615	0.93805
   12     6.975	0.98844	0.98248	0.97842	0.96974	0.96568	0.95848	0.95133	0.94571	0.93773
   12     7.025	0.98822	0.98215	0.97834	0.96925	0.96532	0.95825	0.95120	0.94529	0.93756
   12     7.075	0.98803	0.98166	0.97789	0.96871	0.96491	0.95785	0.95107	0.94496	0.93733
   12     7.125	0.98789	0.98101	0.97748	0.96815	0.96439	0.95740	0.95109	0.94443	0.93705
   12     7.175	0.98769	0.98049	0.97710	0.96780	0.96395	0.95696	0.95106	0.94386	0.93682
   12     7.225	0.98730	0.98027	0.97672	0.96752	0.96361	0.95649	0.95087	0.94331	0.93658
   12     7.275	0.98672	0.98006	0.97629	0.96726	0.96323	0.95597	0.95065	0.94264	0.93627
   12     7.325	0.98627	0.98002	0.97593	0.96711	0.96310	0.95570	0.95043	0.94226	0.93599
   12     7.375	0.98569	0.97996	0.97557	0.96690	0.96287	0.95569	0.95005	0.94186	0.93572
   12     7.425	0.98496	0.97987	0.97503	0.96684	0.96257	0.95550	0.94973	0.94169	0.93543
   12     7.475	0.98469	0.97980	0.97448	0.96683	0.96212	0.95528	0.94944	0.94157	0.93514
   12     7.525	0.98484	0.97959	0.97396	0.96685	0.96160	0.95497	0.94915	0.94152	0.93478
   12     7.575	0.98482	0.97941	0.97339	0.96671	0.96112	0.95463	0.94876	0.94151	0.93443
   12     7.625	0.98508	0.97927	0.97299	0.96677	0.96062	0.95425	0.94839	0.94145	0.93398
   12     7.675	0.98532	0.97907	0.97271	0.96670	0.96035	0.95379	0.94794	0.94130	0.93350
   12     7.725	0.98535	0.97883	0.97238	0.96662	0.96013	0.95333	0.94768	0.94113	0.93309
   12     7.775	0.98526	0.97853	0.97178	0.96643	0.95995	0.95281	0.94739	0.94099	0.93261
   12     7.825	0.98502	0.97805	0.97133	0.96610	0.95966	0.95239	0.94710	0.94081	0.93228
   12     7.875	0.98460	0.97781	0.97103	0.96561	0.95951	0.95201	0.94680	0.94058	0.93222
   12     7.925	0.98399	0.97768	0.97072	0.96508	0.95928	0.95179	0.94643	0.94027	0.93219
   12     7.975	0.98323	0.97767	0.97027	0.96482	0.95901	0.95165	0.94607	0.93999	0.93220
   12     8.025	0.98276	0.97758	0.97013	0.96475	0.95864	0.95165	0.94571	0.93974	0.93220
   12     8.075	0.98223	0.97734	0.96997	0.96458	0.95820	0.95168	0.94549	0.93950	0.93212
   12     8.125	0.98184	0.97723	0.96973	0.96451	0.95769	0.95169	0.94529	0.93929	0.93181
   12     8.175	0.98152	0.97692	0.96946	0.96446	0.95730	0.95152	0.94492	0.93911	0.93146
   12     8.225	0.98114	0.97691	0.96920	0.96430	0.95722	0.95138	0.94447	0.93887	0.93116
   12     8.275	0.98069	0.97707	0.96882	0.96409	0.95729	0.95111	0.94407	0.93860	0.93086
   12     8.325	0.98028	0.97700	0.96848	0.96382	0.95734	0.95064	0.94367	0.93825	0.93073
   12     8.375	0.97971	0.97660	0.96823	0.96357	0.95739	0.95031	0.94323	0.93799	0.93073
   12     8.425	0.97922	0.97619	0.96822	0.96304	0.95745	0.95002	0.94271	0.93769	0.93073
   12     8.475	0.97853	0.97590	0.96845	0.96250	0.95743	0.94972	0.94219	0.93725	0.93070
   12     8.525	0.97778	0.97558	0.96860	0.96189	0.95724	0.94955	0.94191	0.93682	0.93061
   12     8.575	0.97716	0.97514	0.96870	0.96147	0.95688	0.94939	0.94195	0.93642	0.93039
   12     8.625	0.97685	0.97469	0.96867	0.96113	0.95656	0.94935	0.94203	0.93596	0.93013
   12     8.675	0.97682	0.97406	0.96858	0.96081	0.95599	0.94924	0.94213	0.93559	0.92982
