C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        30   6396.02163   6395.91232   6344.46915	  4295.90805   4295.80726   4249.88648
        31   6524.04525   6523.93576   6472.53634	  4396.63832   4396.53729   4350.62040
        32   6650.30235   6650.19269   6598.73344	  4496.41032   4496.30906   4450.26184
        33   6774.85376   6774.74393   6723.08534	  4595.24905   4595.14757   4548.86005
        34   6897.75587   6897.64591   6846.13825	  4693.17733   4693.07564   4646.86153
        35   7019.06266   7018.95255   6967.28904	  4790.21751   4790.11562   4743.70808
        36   7138.82523   7138.71497   7086.92752	  4886.39096   4886.28888   4839.72702
C DATA from 20 TeV to 50 TeV(1TeV step,31bins)	  
        37   7138.82523   7138.71497   7086.92752	  4886.39096   4886.28888   4839.72702
        38   7373.91034   7373.79983   7322.07679	  5076.22009   5076.11765   5029.51801
        39   7603.37112   7603.26038   7551.51880	  5262.81915   5262.71638   5215.99201
        40   7827.53484   7827.42389   7775.73522	  5446.33199   5446.22891   5399.47541
        41   8046.69920   8046.58806   7994.65473	  5626.89200   5626.78865   5579.72245
        42   8261.13500   8261.02368   8208.95349	  5804.62219   5804.51857   5757.22427
        43   8471.09077   8470.97930   8419.25566	  5979.63778   5979.53391   5932.52011
        44   8676.79503   8676.68341   8624.72203	  6152.04663   6151.94254   6104.60273
        45   8878.45750   8878.34575   8826.08913	  6321.94894   6321.84463   6274.20226
        46   9076.27202   9076.16014   9024.01195	  6489.43881   6489.33431   6441.70443
        47   9270.41790   9270.30591   9218.39412	  6654.60467   6654.49998   6607.05642
        48   9461.06295   9460.95087   9409.13758	  6817.53109   6817.42623   6769.99541
        49   9648.36059   9648.24841   9596.27338	  6978.29522   6978.19020   6930.54141
        50   9832.45469   9832.34243   9780.34821	  7136.97090   7136.86572   7089.15530
        51  10013.47943  10013.36709   9961.34037	  7293.62774   7293.52242   7245.71353
        52  10191.56014  10191.44774  10139.35295	  7448.33160   7448.22615   7400.33650
        53  10366.81426  10366.70178  10314.80888	  7601.14490   7601.03932   7553.26410
        54  10539.35249  10539.23997  10487.01081	  7752.12746   7752.02177   7703.88377
        55  10709.27763  10709.16506  10657.46846	  7901.33488   7901.22908   7853.55366
        56  10876.68685  10876.57423  10824.80371	  8048.82047   8048.71457   8000.92323
        57  11041.67157  11041.55890  10989.77135	  8194.63488   8194.52887   8146.70432
        58  11204.31812  11204.20542  11152.28941	  8338.82643   8338.72034   8290.70853
        59  11364.70785  11364.59512  11312.76396	  8481.44106   8481.33489   8433.39230
        60  11522.91784  11522.80508  11471.05295	  8622.52272   8622.41647   8574.47678
        61  11679.02087  11678.90809  11627.34308	  8762.11325   8762.00691   8714.21021
        62  11833.08596  11832.97316  11781.26353	  8900.25265   8900.14625   8852.18069
        63  11985.17977  11985.06696  11933.15906	  9036.98043   9036.87397   8988.70521
        64  12135.36344  12135.25062  12083.61255	  9172.33219   9172.22567   9124.29911
        65  12283.69608  12283.58324  12232.22655	  9306.34308   9306.23650   9258.50846
        66  12430.23381  12430.12098  12378.63190	  9439.04667   9438.94004   9391.04067
        67  12575.03018  12574.91734  12523.38446	  9570.47528   9570.36859   9522.39344
C DATA from 50TeV to 100TeV(2TeV step,26bins)	  
        68  12575.03018  12574.91734  12523.38446	  9570.47528   9570.36859   9522.39344
        69  12859.60027  12859.48742  12808.21689	  9829.63000   9829.52323   9781.75957
        70  13137.78660  13137.67376  13086.35625	 10084.04055  10083.93371  10036.06545
        71  13409.93641  13409.82358  13358.06303	 10333.92287  10333.81596  10285.50047
        72  13676.36745  13676.25466  13624.88796	 10579.47704  10579.37008  10531.34441
        73  13937.37144  13937.25866  13886.12687	 10820.88902  10820.78202  10772.96111
        74  14193.21856  14193.10583  14142.17311	 11058.33361  11058.22658  11010.53058
        75  14444.15524  14444.04254  14393.53256	 11291.97105  11291.86398  11244.52307
        76  14690.41072  14690.29806  14639.05915	 11521.95238  11521.84529  11473.75815
        77  14932.19731  14932.08472  14880.88377	 11748.41888  11748.31178  11700.22544
        78  15169.71233  15169.59978  15118.75266	 11971.50311  11971.39600  11923.63587
        79  15403.13943  15403.02694  15352.81753	 12191.32968  12191.22257  12143.98270
        80  15632.64985  15632.53742  15581.90937	 12408.01574  12407.90863  12360.24048
        81  15858.40357  15858.29120  15807.88786	 12621.67172  12621.56462  12574.10643
        82  16080.55035  16080.43805  16030.19586	 12832.40186  12832.29478  12784.94509
        83  16299.23040  16299.11816  16248.71738	 13040.30449  13040.19742  12992.68170
        84  16514.57560  16514.46343  16463.90527	 13245.47286  13245.36582  13197.65165
        85  16726.70963  16726.59755  16676.40315	 13447.99502  13447.88799  13400.51715
        86  16935.74924  16935.63723  16885.81032	 13647.95470  13647.84771  13600.74702
        87  17141.80424  17141.69232  17091.46857	 13845.43125  13845.32429  13797.83765
        88  17344.97838  17344.86653  17294.82275	 14040.50003  14040.39310  13993.05348
        89  17545.37146  17545.25969  17495.22923	 14233.23457  14233.12768  14185.79087
        90  17743.07472  17742.96304  17693.64574	 14423.70165  14423.59479  14376.91057
        91  17938.17610  17938.06450  17889.20833	 14611.96639  14611.85958  14565.56759
        92  18130.75892  18130.64740  18080.93930	 14798.09091  14797.98414  14750.86503
        93  18320.90226  18320.79083  18271.39290	 14982.13443  14982.02772  14935.17975
