C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
         4   1562.81861   1562.72256   1521.81345	  1502.73168   1502.63575   1465.06580
         5   1729.90418   1729.80506   1688.10964	  1670.23657   1670.13762   1631.69770
         6   1892.57399   1892.47188   1850.12143	  1834.33196   1834.23007   1795.05645
         7   2051.14655   2051.04153   2008.07499	  1995.22535   1995.12060   1955.26985
         8   2205.90142   2205.81307   2162.39983	  2153.10038   2153.01159   2112.63434
         9   2357.08559   2356.99649   2313.10115	  2308.11954   2308.02999   2267.10733
        10   2504.91925   2504.82946   2460.52262	  2460.42682   2460.33657   2418.93716
        11   2649.60020   2649.50978   2604.81223	  2610.15536   2610.06447   2568.21391
        12   2791.30695   2791.21595   2746.22425	  2757.42541   2757.33393   2715.13168
        13   2930.20129   2930.10976   2884.89919	  2902.34729   2902.25526   2859.76425
        14   3066.43118   3066.33914   3020.92768	  3045.02360   3044.93106   3002.17878
        15   3200.13139   3200.03890   3154.38676	  3185.54840   3185.45538   3142.40893
        16   3331.42602   3331.33309   3285.37496	  3324.00903   3323.91558   3280.52691
        17   3460.42901   3460.33566   3414.18419	  3460.48739   3460.39351   3416.76012
        18   3587.24584   3587.15212   3540.84530	  3595.05938   3594.96511   3551.13395
        19   3711.97350   3711.87941   3665.35975	  3727.79577   3727.70113   3683.61405
        20   3834.70203   3834.60760   3788.05194	  3858.76258   3858.66759   3814.50072
        21   3955.51619   3955.42144   3908.62086	  3988.02317   3987.92785   3943.47514
        22   4074.49376   4074.39870   4027.57117	  4115.63555   4115.53992   4071.02216
        23   4191.70818   4191.61283   4144.69863	  4241.65537   4241.55945   4196.90082
        24   4307.22788   4307.13226   4259.81375	  4366.13510   4366.03890   4320.97956
        25   4421.11720   4421.02132   4373.94878	  4489.12410   4489.02763   4444.14934
        26   4533.43630   4533.34017   4485.84265	  4610.66911   4610.57239   4565.25425
        27   4644.24193   4644.14556   4596.82220	  4730.81448   4730.71751   4685.52394
        28   4753.58758   4753.49099   4705.84097	  4849.60255   4849.50535   4803.97577
        29   4861.52330   4861.42649   4813.87675	  4967.07284   4966.97542   4921.50417
        30   4968.09669   4967.99967   4920.27090	  5083.26354   5083.16590   5037.48613
        31   5073.35257   5073.25535   5025.56379	  5198.21071   5198.11287   5152.44982
        32   5177.33390   5177.23649   5129.47162	  5311.94922   5311.85119   5266.07747
        33   5280.08104   5279.98345   5232.00472	  5424.51213   5424.41391   5378.41028
        34   5381.63174   5381.53397   5333.69275	  5535.93021   5535.83181   5489.92164
        35   5482.02224   5481.92431   5433.90111	  5646.23344   5646.13487   5600.03274
        36   5581.28751   5581.18942   5533.04240	  5755.45099   5755.35225   5709.11121
C DATA from 20 TeV to 50 TeV(1TeV step,31bins)	  
        37   5581.28751   5581.18942   5533.04240	  5755.45099   5755.35225   5709.11121
        38   5776.57203   5776.47364   5728.36266	  5970.73750   5970.63846   5924.38220
        39   5967.73167   5967.63299   5919.47915	  6181.99768   6181.89835   6135.54405
        40   6154.98913   6154.89019   6106.75895	  6389.42122   6389.32162   6342.95163
        41   6338.54913   6338.44994   6290.05085	  6593.18454   6593.08469   6546.41778
        42   6518.59980   6518.50040   6469.93709	  6793.45140   6793.35132   6746.47444
        43   6695.31222   6695.21260   6646.97173	  6990.37173   6990.27144   6943.68564
        44   6868.84555   6868.74574   6820.24191	  7184.08647   7183.98598   7137.09261
        45   7039.34758   7039.24758   6990.42524	  7374.72770   7374.62701   7327.42641
        46   7206.95390   7206.85373   7158.11589	  7562.41739   7562.31653   7515.14778
        47   7371.79078   7371.69045   7323.16202	  7747.27003   7747.16900   7700.18859
        48   7533.97639   7533.87591   7485.42279	  7929.39364   7929.29245   7882.34094
        49   7693.62006   7693.51943   7644.86903	  8108.88877   8108.78744   8061.61982
        50   7850.82360   7850.72284   7802.04427	  8285.84969   8285.74823   8238.52953
        51   8005.68368   8005.58280   7956.84575	  8460.36663   8460.26504   8412.95514
        52   8158.28905   8158.18805   8109.36473	  8632.52275   8632.42103   8585.02818
        53   8308.72575   8308.62464   8259.98134	  8802.39939   8802.29757   8755.03474
        54   8457.07349   8456.97227   8407.96828	  8970.07228   8969.97035   8922.34183
        55   8603.40510   8603.30379   8554.81362	  9135.61079   9135.50876   9088.35437
        56   8747.79156   8747.69016   8699.10386	  9299.08306   9298.98093   9251.71258
        57   8890.29980   8890.19830   8841.57854	  9460.55370   9460.45148   9413.14898
        58   9030.99215   9030.89058   8982.11900	  9620.08311   9619.98080   9572.49659
        59   9169.92795   9169.82630   9121.12119	  9777.72906   9777.62669   9730.20806
        60   9307.16449   9307.06277   9258.41625	  9933.54770   9933.44525   9886.04172
        61   9442.75587   9442.65408   9394.17704	 10087.59223  10087.48971  10040.23394
        62   9576.75139   9576.64953   9528.00508	 10239.91128  10239.80869  10192.37919
        63   9709.19924   9709.09732   9660.23490	 10390.55262  10390.44997  10342.80937
        64   9840.14546   9840.04349   9791.44085	 10539.56213  10539.45943  10492.06670
        65   9969.63485   9969.53283   9921.18913	 10686.98462  10686.88186  10639.69857
        66  10097.70896  10097.60689  10049.11534	 10832.86178  10832.75897  10785.40953
        67  10224.40642  10224.30430  10175.74685	 10977.23252  10977.12966  10929.70134
C DATA from 50TeV to 100TeV(2TeV step,26bins)	  
        68  10224.40642  10224.30430  10175.74685	 10977.23252  10977.12966  10929.70134
        69  10473.82211  10473.71990  10425.39495	 11261.60723  11261.50429  11214.28852
        70  10718.16813  10718.06586  10669.65971	 11540.39947  11540.29645  11492.97548
        71  10957.70657  10957.60424  10908.72401	 11813.87723  11813.77415  11765.99308
        72  11192.67335  11192.57096  11144.05408	 12082.28332  12082.18018  12034.70303
        73  11423.28917  11423.18673  11374.87737	 12345.84620  12345.74302  12298.46610
        74  11649.75899  11649.65651  11601.51562	 12604.77925  12604.67603  12557.52901
        75  11872.27031  11872.16780  11824.42571	 12859.27884  12859.17559  12812.39187
        76  12090.99739  12090.89486  12042.38747	 13109.52826  13109.42498  13061.87961
        77  12306.10309  12306.00054  12257.50355	 13355.69965  13355.59635  13308.04795
        78  12517.73906  12517.63650  12469.47697	 13597.95405  13597.85073  13550.63085
        79  12726.04912  12725.94655  12678.39897	 13836.44475  13836.34143  13789.66092
        80  12931.16624  12931.06367  12883.06675	 14071.31410  14071.21078  14024.08736
        81  13133.21120  13133.10863  13085.31854	 14302.69211  14302.58879  14255.67202
        82  13332.30038  13332.19782  13284.54041	 14530.70438  14530.60106  14483.79099
        83  13528.54227  13528.43971  13480.60345	 14755.46851  14755.36521  14708.38165
        84  13722.04032  13721.93778  13673.91545	 14977.09690  14976.99361  14929.80618
        85  13912.89047  13912.78794  13865.11491	 15195.69423  15195.59095  15148.74707
        86  14101.18547  14101.08297  14053.75411	 15411.36186  15411.25860  15364.69902
        87  14287.01223  14286.90975  14239.16049	 15624.19506  15624.09182  15577.13011
        88  14470.45071  14470.34825  14422.75594	 15834.28197  15834.17875  15787.36011
        89  14651.57798  14651.47555  14603.88035	 16041.70768  16041.60450  15994.78423
        90  14830.46701  14830.36461  14783.47341	 16246.55300  16246.44985  16200.29707
        91  15007.18727  15007.08490  14960.63327	 16448.89502  16448.79190  16403.03806
        92  15181.80523  15181.70289  15134.37157	 16648.80762  16648.70454  16602.09928
        93  15354.38313  15354.28082  15307.24024	 16846.36029  16846.25724  16799.92313
