C DATA from 0.5 GeV to 6.5GeV(0.1GeV step,61bins)	  
        50   7777.03049   7776.92308   7726.78137	  8358.91363   8358.80497   8309.99813
        51   7932.09406   7931.98653   7881.78825	  8536.32392   8536.21515   8487.31950
        52   8084.93074   8084.82310   8034.54627	  8711.34795   8711.23906   8662.26924
        53   8235.62283   8235.51508   8185.41271	  8884.06538   8883.95640   8835.11146
        54   8384.24835   8384.14051   8333.68682	  9054.55221   9054.44314   9005.24264
        55   8530.87973   8530.77181   8480.82906	  9222.87932   9222.77016   9174.04132
        56   8675.58575   8675.47774   8625.44401	  9389.11435   9389.00511   9340.16805
        57   8818.43134   8818.32325   8768.26219	  9553.32154   9553.21222   9504.34808
        58   8959.47799   8959.36983   8909.15936	  9715.56206   9715.45267   9666.40971
        59   9098.78383   9098.67561   9048.54034	  9875.89393   9875.78448   9826.81657
        60   9236.40413   9236.29585   9186.21563	 10034.37266  10034.26316   9985.30726
        61   9372.39118   9372.28285   9322.37393	 10191.05098  10190.94142  10142.13566
        62   9506.79475   9506.68636   9456.62053	 10345.97924  10345.86963  10296.90113
        63   9639.66327   9639.55483   9589.28319	 10499.20678  10499.09712  10449.93041
        64   9771.04089   9770.93241   9720.91993	 10650.77861  10650.66892  10601.75034
        65   9900.97051   9900.86199   9851.10637	 10800.73872  10800.62898  10751.91784
        66  10029.49303  10029.38447   9979.48161	 10949.12916  10949.01940  10900.14352
        67  10156.64760  10156.53901  10106.57911	 11095.99037  11095.88057  11046.93499
C DATA from 50TeV to 100TeV(2TeV step,26bins)	  
        68  10156.64760  10156.53901  10106.57911	 11095.99037  11095.88057  11046.93499
        69  10407.00031  10406.89165  10357.17302	 11385.27802  11385.16816  11336.44509
        70  10652.30798  10652.19929  10602.41024	 11668.89258  11668.78269  11619.96629
        71  10892.82690  10892.71816  10842.47461	 11947.10274  11946.99282  11897.73739
        72  11128.79261  11128.68385  11078.80183	 12220.15694  12220.04699  12171.09451
        73  11360.42230  11360.31352  11310.65138	 12488.28559  12488.17563  12439.43671
        74  11587.91824  11587.80945  11538.32106	 12751.70441  12751.59445  12702.99152
        75  11811.46514  11811.35634  11762.26802	 13010.61152  13010.50155  12962.26409
        76  12031.23565  12031.12685  11981.29546	 13265.19288  13265.08292  13216.10718
        77  12247.39030  12247.28152  12197.47189	 13515.62230  13515.51235  13466.54587
        78  12460.07868  12459.96991  12410.50183	 13762.06238  13761.95245  13713.31978
        79  12669.44066  12669.33191  12620.46847	 14004.66590  14004.55600  13956.45593
        80  12875.60695  12875.49822  12826.20574	 14243.57610  14243.46622  14194.94450
        81  13078.70016  13078.59146  13029.51453	 14478.92794  14478.81809  14430.51276
        82  13278.83534  13278.72667  13229.79218	 14710.84842  14710.73861  14662.55023
        83  13476.12054  13476.01190  13426.91072	 14939.45733  14939.34756  14890.99907
        84  13670.65774  13670.54914  13621.27424	 15164.86804  15164.75832  15116.21907
        85  13862.54273  13862.43418  13813.51359	 15387.18739  15387.07771  15338.88791
        86  14051.86632  14051.75781  14003.17696	 15606.51694  15606.40731  15558.49802
        87  14238.71405  14238.60559  14189.62396	 15822.95272  15822.84314  15774.55240
        88  14423.16696  14423.05854  14374.24390	 16036.58583  16036.47630  15988.33912
        89  14605.30354  14605.19518  14556.38638	 16247.50472  16247.39525  16199.26616
        90  14785.19523  14785.08693  14736.97406	 16455.79026  16455.68085  16408.21200
        91  14962.91115  14962.80290  14915.13077	 16661.52083  16661.41148  16614.34300
        92  15138.51703  15138.40884  15089.88357	 16864.77108  16864.66179  16816.76960
        93  15312.07548  15311.96735  15263.73880	 17065.61229  17065.50307  17017.88835
