                                                                                
      ELECTRON NEUTRINO      ITHETA =  1                                        
     .11006E+04     .10163E+04     .99992E+03     .10361E+04     .90402E+03     
     .17847E+04     .16401E+04     .15284E+04     .14643E+04     .13913E+04     
     .12644E+04     .12328E+04     .11136E+04     .10653E+04     .10211E+04     
     .96632E+03     .88547E+03     .87447E+03     .80940E+03     .74269E+03     
     .76700E+03     .75153E+03     .61910E+03     .63606E+03     .59401E+03     
     .57275E+03     .53728E+03     .52348E+03     .51511E+03     .47557E+03     
     .10920E+04     .94771E+03     .89677E+03     .82031E+03     .75174E+03     
     .70739E+03     .62613E+03     .57452E+03     .48373E+03     .44070E+03     
     .41761E+03     .40853E+03     .38677E+03     .34444E+03     .31238E+03     
     .26907E+03     .25846E+03     .28539E+03     .21709E+03     .24719E+03     
     .75327E+03     .59075E+03     .49488E+03     .36853E+03     .32863E+03     
     .23125E+03     .24805E+03     .18590E+03     .15266E+03     .11430E+03     
     .12678E+03     .99321E+02     .85187E+02     .86000E+02     .55299E+02     
     .72330E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA =  8                                        
     .61615E+03     .18750E+04     .25161E+04     .30166E+04     .34424E+04     
     .35021E+04     .35603E+04     .35331E+04     .34249E+04     .30780E+04     
     .27317E+04     .26199E+04     .24481E+04     .24270E+04     .23807E+04     
     .22490E+04     .22017E+04     .20545E+04     .20549E+04     .21145E+04     
     .20630E+04     .19446E+04     .18274E+04     .16347E+04     .16381E+04     
     .18301E+04     .16388E+04     .16686E+04     .15461E+04     .15813E+04     
     .14438E+04     .13138E+04     .13938E+04     .14172E+04     .14284E+04     
     .12537E+04     .12121E+04     .12482E+04     .11885E+04     .12251E+04     
     .11790E+04     .10835E+04     .10633E+04     .10783E+04     .10602E+04     
     .10167E+04     .94826E+03     .10309E+04     .96885E+03     .91763E+03     
     .17814E+04     .17482E+04     .16357E+04     .15820E+04     .15569E+04     
     .13845E+04     .14492E+04     .13128E+04     .12392E+04     .12515E+04     
     .12128E+04     .11146E+04     .10365E+04     .94628E+03     .10999E+04     
     .98677E+03     .94044E+03     .85901E+03     .81803E+03     .77131E+03     
     .76646E+03     .73235E+03     .68784E+03     .70222E+03     .70255E+03     
     .14040E+04     .12174E+04     .11591E+04     .11656E+04     .10691E+04     
     .95396E+03     .89312E+03     .90696E+03     .84940E+03     .74954E+03     
     .72130E+03     .72015E+03     .68114E+03     .66203E+03     .55165E+03     
     .59664E+03     .48241E+03     .50128E+03     .51640E+03     .49892E+03     
     .40939E+03     .44264E+03     .36288E+03     .38366E+03     .38037E+03     
     .87842E+03     .77501E+03     .67550E+03     .63097E+03     .57151E+03     
     .62944E+03     .52437E+03     .48818E+03     .40144E+03     .40904E+03     
     .40236E+03     .34824E+03     .33721E+03     .29700E+03     .24137E+03     
     .25669E+03     .22016E+03     .20695E+03     .23200E+03     .16955E+03     
     .75824E+03     .53716E+03     .48098E+03     .34847E+03     .31981E+03     
     .26587E+03     .22476E+03     .15593E+03     .15589E+03     .15600E+03     
     .85546E+02     .99149E+02     .82299E+02     .69149E+02     .72000E+02     
     .81830E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA =  9                                        
     .68590E+03     .22092E+04     .34017E+04     .40884E+04     .45212E+04     
     .47263E+04     .48907E+04     .49641E+04     .49470E+04     .44601E+04     
     .41143E+04     .39712E+04     .39289E+04     .37276E+04     .36220E+04     
     .35029E+04     .33583E+04     .33260E+04     .32767E+04     .32263E+04     
     .31434E+04     .30062E+04     .29028E+04     .28428E+04     .27434E+04     
     .26662E+04     .25897E+04     .24900E+04     .24302E+04     .23318E+04     
     .23567E+04     .22623E+04     .21871E+04     .21357E+04     .20786E+04     
     .20132E+04     .19007E+04     .18851E+04     .18659E+04     .18060E+04     
     .17588E+04     .16657E+04     .16628E+04     .15976E+04     .16242E+04     
     .14786E+04     .15157E+04     .14520E+04     .14085E+04     .14070E+04     
     .26641E+04     .25183E+04     .23754E+04     .23119E+04     .21388E+04     
     .21277E+04     .19205E+04     .19120E+04     .17721E+04     .17296E+04     
     .16067E+04     .15713E+04     .14210E+04     .14256E+04     .14194E+04     
     .13968E+04     .13312E+04     .12485E+04     .11816E+04     .11767E+04     
     .11411E+04     .10581E+04     .10134E+04     .10314E+04     .93580E+03     
     .18184E+04     .16783E+04     .15691E+04     .14743E+04     .13963E+04     
     .12955E+04     .12296E+04     .11135E+04     .10504E+04     .10309E+04     
     .97324E+03     .87523E+03     .87851E+03     .82122E+03     .74789E+03     
     .76151E+03     .74670E+03     .63116E+03     .62563E+03     .59717E+03     
     .56440E+03     .53173E+03     .51030E+03     .50400E+03     .46648E+03     
     .10746E+04     .94110E+03     .87370E+03     .80461E+03     .74070E+03     
     .69579E+03     .61617E+03     .55341E+03     .47174E+03     .41644E+03     
     .39671E+03     .39624E+03     .37738E+03     .34780E+03     .30053E+03     
     .25704E+03     .25255E+03     .27912E+03     .21122E+03     .23447E+03     
     .73837E+03     .56988E+03     .48207E+03     .35756E+03     .31989E+03     
     .22063E+03     .24009E+03     .18493E+03     .14841E+03     .11090E+03     
     .12234E+03     .96747E+02     .81663E+02     .85149E+02     .55299E+02     
     .71995E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA = 10                                        
     .66615E+03     .23605E+04     .36575E+04     .45980E+04     .53071E+04     
     .56939E+04     .60522E+04     .61535E+04     .61435E+04     .58174E+04     
     .54871E+04     .52383E+04     .50529E+04     .49028E+04     .47978E+04     
     .47276E+04     .45412E+04     .43045E+04     .42154E+04     .41151E+04     
     .39812E+04     .38340E+04     .37546E+04     .36597E+04     .34187E+04     
     .33036E+04     .30580E+04     .30364E+04     .29773E+04     .29177E+04     
     .27852E+04     .26564E+04     .26266E+04     .25946E+04     .24532E+04     
     .23407E+04     .23397E+04     .22265E+04     .21220E+04     .20077E+04     
     .20006E+04     .19244E+04     .19225E+04     .18399E+04     .17991E+04     
